accuracy: 	0.875	loss: 	0.32363695
accuracy: 	0.8125	loss: 	0.5321909
accuracy: 	0.78125	loss: 	0.6875942
accuracy: 	0.828125	loss: 	0.39379784
accuracy: 	0.765625	loss: 	0.5709747
accuracy: 	0.703125	loss: 	0.82676876
accuracy: 	0.8125	loss: 	0.48237482
accuracy: 	0.796875	loss: 	0.4150694
accuracy: 	0.859375	loss: 	0.39939636
accuracy: 	0.828125	loss: 	0.4126055
accuracy: 	0.703125	loss: 	0.6245795
accuracy: 	0.828125	loss: 	0.6307509
accuracy: 	0.8125	loss: 	0.44675082
accuracy: 	0.8125	loss: 	0.57215184
accuracy: 	0.84375	loss: 	0.512591
accuracy: 	0.765625	loss: 	0.7068341
accuracy: 	0.828125	loss: 	0.56369555
accuracy: 	0.859375	loss: 	0.354761
accuracy: 	0.828125	loss: 	0.43522686
accuracy: 	0.8125	loss: 	0.5083914
accuracy: 	0.828125	loss: 	0.55809164
accuracy: 	0.8125	loss: 	0.46922633
accuracy: 	0.875	loss: 	0.3973128
accuracy: 	0.84375	loss: 	0.4962339
accuracy: 	0.890625	loss: 	0.32928896
accuracy: 	0.875	loss: 	0.5260294
accuracy: 	0.84375	loss: 	0.48895633
accuracy: 	0.796875	loss: 	0.6205813
accuracy: 	0.78125	loss: 	0.5519974
accuracy: 	0.84375	loss: 	0.46776265
accuracy: 	0.796875	loss: 	0.55236435
accuracy: 	0.859375	loss: 	0.37975895
accuracy: 	0.8125	loss: 	0.59735227
accuracy: 	0.90625	loss: 	0.3315738
accuracy: 	0.8125	loss: 	0.53895295
accuracy: 	0.796875	loss: 	0.5836103
accuracy: 	0.84375	loss: 	0.3980572
accuracy: 	0.90625	loss: 	0.2888299
accuracy: 	0.921875	loss: 	0.2906798
accuracy: 	0.765625	loss: 	0.6309985
accuracy: 	0.796875	loss: 	0.4599801
accuracy: 	0.84375	loss: 	0.40557075
accuracy: 	0.75	loss: 	0.6917108
accuracy: 	0.78125	loss: 	0.5415738
accuracy: 	0.796875	loss: 	0.51267964
accuracy: 	0.796875	loss: 	0.612772
accuracy: 	0.78125	loss: 	0.6426522
accuracy: 	0.84375	loss: 	0.47048175
accuracy: 	0.828125	loss: 	0.5638407
accuracy: 	0.8125	loss: 	0.3895726
accuracy: 	0.828125	loss: 	0.42980206
accuracy: 	0.796875	loss: 	0.5292324
accuracy: 	0.8125	loss: 	0.55240655
accuracy: 	0.875	loss: 	0.29983333
accuracy: 	0.765625	loss: 	0.5826644
accuracy: 	0.828125	loss: 	0.46195444
accuracy: 	0.84375	loss: 	0.51671016
accuracy: 	0.8125	loss: 	0.4928433
accuracy: 	0.890625	loss: 	0.337193
accuracy: 	0.890625	loss: 	0.40551513
accuracy: 	0.921875	loss: 	0.28130066
accuracy: 	0.828125	loss: 	0.48358056
accuracy: 	0.75	loss: 	0.6282997
accuracy: 	0.90625	loss: 	0.30810037
accuracy: 	0.796875	loss: 	0.6275231
accuracy: 	0.828125	loss: 	0.49900714
accuracy: 	0.859375	loss: 	0.33632123
accuracy: 	0.859375	loss: 	0.5105727
accuracy: 	0.859375	loss: 	0.40530458
accuracy: 	0.890625	loss: 	0.35805938
accuracy: 	0.8125	loss: 	0.5372633
accuracy: 	0.90625	loss: 	0.30543363
accuracy: 	0.796875	loss: 	0.47411132
accuracy: 	0.75	loss: 	0.752807
accuracy: 	0.84375	loss: 	0.47826463
accuracy: 	0.8125	loss: 	0.51702905
accuracy: 	0.8125	loss: 	0.44304806
accuracy: 	0.875	loss: 	0.3676982
accuracy: 	0.875	loss: 	0.4170025
accuracy: 	0.875	loss: 	0.35410827
accuracy: 	0.875	loss: 	0.35504064
accuracy: 	0.84375	loss: 	0.3412657
accuracy: 	0.796875	loss: 	0.6524635
accuracy: 	0.828125	loss: 	0.37665197
accuracy: 	0.859375	loss: 	0.44973928
accuracy: 	0.78125	loss: 	0.6085206
accuracy: 	0.828125	loss: 	0.36277437
accuracy: 	0.890625	loss: 	0.40172705
accuracy: 	0.78125	loss: 	0.4535217
accuracy: 	0.8125	loss: 	0.54274124
accuracy: 	0.8125	loss: 	0.5423047
accuracy: 	0.8125	loss: 	0.43364987
accuracy: 	0.78125	loss: 	0.629853
accuracy: 	0.828125	loss: 	0.56373835
accuracy: 	0.703125	loss: 	0.70537174
accuracy: 	0.875	loss: 	0.43700796
accuracy: 	0.8125	loss: 	0.5924206
accuracy: 	0.84375	loss: 	0.4333338
accuracy: 	0.765625	loss: 	0.549532
accuracy: 	0.765625	loss: 	0.5983167
accuracy: 	0.890625	loss: 	0.3883363
accuracy: 	0.796875	loss: 	0.55323255
accuracy: 	0.875	loss: 	0.37606138
accuracy: 	0.890625	loss: 	0.3212443
accuracy: 	0.875	loss: 	0.39317867
accuracy: 	0.8125	loss: 	0.46848804
accuracy: 	0.828125	loss: 	0.4009989
accuracy: 	0.875	loss: 	0.34038436
accuracy: 	0.859375	loss: 	0.45635134
accuracy: 	0.890625	loss: 	0.38217455
accuracy: 	0.90625	loss: 	0.28220814
accuracy: 	0.765625	loss: 	0.6996619
accuracy: 	0.796875	loss: 	0.49187988
accuracy: 	0.859375	loss: 	0.39199442
accuracy: 	0.765625	loss: 	0.4621662
accuracy: 	0.84375	loss: 	0.5649243
accuracy: 	0.859375	loss: 	0.41259032
accuracy: 	0.828125	loss: 	0.46613425
accuracy: 	0.890625	loss: 	0.38547546
accuracy: 	0.796875	loss: 	0.5851367
accuracy: 	0.796875	loss: 	0.5231458
accuracy: 	0.8125	loss: 	0.5351924
accuracy: 	0.8125	loss: 	0.47965437
accuracy: 	0.875	loss: 	0.3531893
accuracy: 	0.796875	loss: 	0.3690704
accuracy: 	0.84375	loss: 	0.43034667
accuracy: 	0.875	loss: 	0.42889225
accuracy: 	0.875	loss: 	0.33673462
accuracy: 	0.71875	loss: 	0.5853903
accuracy: 	0.796875	loss: 	0.571677
accuracy: 	0.765625	loss: 	0.54245293
accuracy: 	0.78125	loss: 	0.5133915
accuracy: 	0.796875	loss: 	0.52178943
accuracy: 	0.828125	loss: 	0.4625657
accuracy: 	0.8125	loss: 	0.42089078
accuracy: 	0.890625	loss: 	0.41750097
accuracy: 	0.875	loss: 	0.35443228
accuracy: 	0.875	loss: 	0.33173484
accuracy: 	0.796875	loss: 	0.44316643
accuracy: 	0.859375	loss: 	0.3813125
accuracy: 	0.90625	loss: 	0.349628
accuracy: 	0.78125	loss: 	0.554188
accuracy: 	0.890625	loss: 	0.3830515
accuracy: 	0.84375	loss: 	0.45624292
accuracy: 	0.84375	loss: 	0.39198324
accuracy: 	0.8125	loss: 	0.44682115
accuracy: 	0.8125	loss: 	0.48792303
accuracy: 	0.828125	loss: 	0.61526763
accuracy: 	0.84375	loss: 	0.4293741
accuracy: 	0.828125	loss: 	0.5297485
accuracy: 	0.875	loss: 	0.47244775
accuracy: 	0.84375	loss: 	0.3438272
accuracy: 	0.8125	loss: 	0.6627451
accuracy: 	0.84375	loss: 	0.3972481
accuracy: 	0.890625	loss: 	0.36723104
accuracy: 	0.90625	loss: 	0.25629777
accuracy: 	0.8125	loss: 	0.47005072
accuracy: 	0.765625	loss: 	0.61476874
accuracy: 	0.890625	loss: 	0.2644176
accuracy: 	0.859375	loss: 	0.37042254
accuracy: 	0.859375	loss: 	0.40720314
accuracy: 	0.796875	loss: 	0.61299384
accuracy: 	0.8125	loss: 	0.52669686
accuracy: 	0.859375	loss: 	0.25866574
accuracy: 	0.875	loss: 	0.3768353
accuracy: 	0.8125	loss: 	0.440176
accuracy: 	0.875	loss: 	0.37950066
accuracy: 	0.828125	loss: 	0.46672958
accuracy: 	0.875	loss: 	0.36793125
accuracy: 	0.828125	loss: 	0.4998609
accuracy: 	0.859375	loss: 	0.43617374
accuracy: 	0.890625	loss: 	0.36671647
accuracy: 	0.90625	loss: 	0.3331211
accuracy: 	0.828125	loss: 	0.47483128
accuracy: 	0.828125	loss: 	0.53252405
accuracy: 	0.828125	loss: 	0.4231806
accuracy: 	0.78125	loss: 	0.60350734
accuracy: 	0.875	loss: 	0.30345777
accuracy: 	0.890625	loss: 	0.32633996
accuracy: 	0.859375	loss: 	0.33677095
accuracy: 	0.828125	loss: 	0.53744495
accuracy: 	0.828125	loss: 	0.4597351
accuracy: 	0.796875	loss: 	0.5354083
accuracy: 	0.796875	loss: 	0.6135249
accuracy: 	0.875	loss: 	0.38319772
accuracy: 	0.859375	loss: 	0.35628664
accuracy: 	0.859375	loss: 	0.43923563
accuracy: 	0.796875	loss: 	0.39688495
accuracy: 	0.8125	loss: 	0.40805972
accuracy: 	0.90625	loss: 	0.25004265
accuracy: 	0.8125	loss: 	0.3825875
accuracy: 	0.921875	loss: 	0.26553094
accuracy: 	0.796875	loss: 	0.61021113
accuracy: 	0.8125	loss: 	0.47867122
accuracy: 	0.765625	loss: 	0.5920359
accuracy: 	0.84375	loss: 	0.38996726
accuracy: 	0.84375	loss: 	0.37757576
accuracy: 	0.8125	loss: 	0.40045637
accuracy: 	0.828125	loss: 	0.4527022
accuracy: 	0.8125	loss: 	0.53672916
accuracy: 	0.78125	loss: 	0.61154264
accuracy: 	0.8125	loss: 	0.48084286
accuracy: 	0.875	loss: 	0.41328275
accuracy: 	0.828125	loss: 	0.4611653
accuracy: 	0.890625	loss: 	0.32745725
accuracy: 	0.78125	loss: 	0.50382286
accuracy: 	0.875	loss: 	0.34468257
accuracy: 	0.84375	loss: 	0.4341839
accuracy: 	0.828125	loss: 	0.47017235
accuracy: 	0.828125	loss: 	0.4412544
accuracy: 	0.828125	loss: 	0.4632082
accuracy: 	0.921875	loss: 	0.28276014
accuracy: 	0.875	loss: 	0.37008882
accuracy: 	0.796875	loss: 	0.5044514
accuracy: 	0.84375	loss: 	0.39129797
accuracy: 	0.828125	loss: 	0.44260353
accuracy: 	0.796875	loss: 	0.54379106
accuracy: 	0.921875	loss: 	0.24707407
accuracy: 	0.75	loss: 	0.48402518
accuracy: 	0.765625	loss: 	0.55189776
accuracy: 	0.90625	loss: 	0.31403774
accuracy: 	0.78125	loss: 	0.5072334
